at,capability,variant,sample,status,data_seconds,total_seconds,full_output_match,facts_match,error
2026-09-15T12:30:20Z,toolkit_get,existing,1,completed,0.747,0.748,True,True,
2026-09-15T12:30:20Z,toolkit_get,bridge,1,completed,11.081,11.081,True,True,
2026-09-15T12:30:31Z,toolkit_get,compact,1,completed,2.261,8.305,True,True,
2026-09-15T12:30:40Z,list_hosts,existing,1,completed,0.769,0.769,True,True,
2026-09-15T12:30:41Z,list_hosts,bridge,1,completed,11.07,11.07,True,True,
2026-09-15T12:30:52Z,list_hosts,compact,1,completed,2.293,8.316,True,True,
2026-09-15T12:31:00Z,list_capabilities,existing,1,completed,0.772,0.772,True,True,
2026-09-15T12:31:01Z,list_capabilities,bridge,1,completed,15.613,15.613,True,True,
2026-09-15T12:31:16Z,list_capabilities,compact,1,completed,1.534,7.56,True,True,
2026-09-15T12:31:24Z,toolkit_get,bridge,2,completed,11.036,11.037,True,True,
2026-09-15T12:31:35Z,toolkit_get,compact,2,completed,2.299,8.326,True,True,
2026-09-15T12:31:43Z,toolkit_get,existing,2,completed,0.763,0.764,True,True,
2026-09-15T12:31:44Z,list_hosts,bridge,2,completed,9.329,9.329,True,True,
2026-09-15T12:31:53Z,list_hosts,compact,2,completed,2.282,8.317,True,True,
2026-09-15T12:32:02Z,list_hosts,existing,2,completed,0.75,0.751,True,True,
2026-09-15T12:32:02Z,list_capabilities,bridge,2,completed,14.595,14.595,True,True,
2026-09-15T12:32:17Z,list_capabilities,compact,2,completed,1.52,7.582,True,True,
2026-09-15T12:32:25Z,list_capabilities,existing,2,completed,0.0,0.0,True,True,
2026-09-15T12:32:25Z,toolkit_get,compact,3,completed,2.284,8.306,True,True,
2026-09-15T12:32:33Z,toolkit_get,existing,3,completed,0.759,0.759,True,True,
2026-09-15T12:32:34Z,toolkit_get,bridge,3,completed,11.089,11.089,True,True,
2026-09-15T12:32:45Z,list_hosts,compact,3,completed,2.273,8.307,True,True,
2026-09-15T12:32:53Z,list_hosts,existing,3,completed,0.749,0.75,True,True,
2026-09-15T12:32:54Z,list_hosts,bridge,3,completed,11.098,11.098,True,True,
2026-09-15T12:33:05Z,list_capabilities,compact,3,completed,2.279,8.319,True,True,
2026-09-15T12:33:13Z,list_capabilities,existing,3,completed,0.0,0.001,True,True,
2026-09-15T12:33:13Z,list_capabilities,bridge,3,completed,13.88,13.88,True,True,
2026-09-15T12:33:27Z,toolkit_get,existing,4,completed,0.754,0.754,True,True,
2026-09-15T12:33:28Z,toolkit_get,bridge,4,completed,11.093,11.093,True,True,
2026-09-15T12:33:39Z,toolkit_get,compact,4,completed,2.292,10.054,True,True,
2026-09-15T12:33:49Z,list_hosts,existing,4,completed,0.766,0.766,True,True,
2026-09-15T12:33:50Z,list_hosts,bridge,4,completed,11.067,11.067,True,True,
2026-09-15T12:34:01Z,list_hosts,compact,4,completed,2.285,8.306,True,True,
2026-09-15T12:34:09Z,list_capabilities,existing,4,completed,0.79,0.79,True,True,
2026-09-15T12:34:10Z,list_capabilities,bridge,4,completed,12.081,12.081,True,True,
2026-09-15T12:34:22Z,list_capabilities,compact,4,completed,1.524,7.557,True,True,
2026-09-15T12:34:30Z,toolkit_get,bridge,5,completed,11.081,11.081,True,True,
2026-09-15T12:34:41Z,toolkit_get,compact,5,completed,2.286,8.331,True,True,
2026-09-15T12:34:49Z,toolkit_get,existing,5,completed,0.757,0.757,True,True,
2026-09-15T12:34:50Z,list_hosts,bridge,5,completed,16.376,16.376,True,True,
2026-09-15T12:35:07Z,list_hosts,compact,5,completed,2.294,8.324,True,True,
2026-09-15T12:35:15Z,list_hosts,existing,5,completed,0.745,0.745,True,True,
2026-09-15T12:35:16Z,list_capabilities,bridge,5,completed,14.606,14.606,True,True,
2026-09-15T12:35:30Z,list_capabilities,compact,5,completed,1.539,5.806,True,True,
2026-09-15T12:35:36Z,list_capabilities,existing,5,completed,0.0,0.0,True,True,
2026-09-15T12:35:36Z,toolkit_get,compact,6,completed,2.295,8.344,True,True,
2026-09-15T12:35:44Z,toolkit_get,existing,6,completed,0.756,0.756,True,True,
2026-09-15T12:35:45Z,toolkit_get,bridge,6,completed,11.068,11.068,True,True,
2026-09-15T12:35:56Z,list_hosts,compact,6,completed,2.292,8.341,True,True,
2026-09-15T12:36:05Z,list_hosts,existing,6,completed,0.761,0.761,True,True,
2026-09-15T12:36:05Z,list_hosts,bridge,6,completed,12.834,12.834,True,True,
2026-09-15T12:36:18Z,list_capabilities,compact,6,completed,2.289,8.297,True,True,
2026-09-15T12:36:27Z,list_capabilities,existing,6,completed,0.0,0.001,True,True,
2026-09-15T12:36:27Z,list_capabilities,bridge,6,completed,15.599,15.599,True,True,
2026-09-15T12:36:42Z,toolkit_get,existing,7,completed,0.756,0.756,True,True,
2026-09-15T12:36:43Z,toolkit_get,bridge,7,completed,12.815,12.815,True,True,
2026-09-15T12:36:56Z,toolkit_get,compact,7,completed,2.284,8.302,True,True,
2026-09-15T12:37:04Z,list_hosts,existing,7,completed,0.76,0.76,True,True,
2026-09-15T12:37:05Z,list_hosts,bridge,7,completed,11.091,11.091,True,True,
2026-09-15T12:37:16Z,list_hosts,compact,7,completed,2.261,8.285,True,True,
2026-09-15T12:37:24Z,list_capabilities,existing,7,completed,0.76,0.76,True,True,
2026-09-15T12:37:25Z,list_capabilities,bridge,7,completed,12.09,12.09,True,True,
2026-09-15T12:37:37Z,list_capabilities,compact,7,completed,1.537,7.571,True,True,
2026-09-15T12:37:45Z,toolkit_get,bridge,8,completed,11.058,11.058,True,True,
2026-09-15T12:37:56Z,toolkit_get,compact,8,completed,2.285,8.336,True,True,
2026-09-15T12:38:04Z,toolkit_get,existing,8,completed,0.753,0.754,True,True,
2026-09-15T12:38:05Z,list_hosts,bridge,8,completed,16.362,16.362,True,True,
2026-09-15T12:38:22Z,list_hosts,compact,8,completed,2.279,8.308,True,True,
2026-09-15T12:38:30Z,list_hosts,existing,8,completed,0.763,0.763,True,True,
2026-09-15T12:38:31Z,list_capabilities,bridge,8,completed,14.59,14.59,True,True,
2026-09-15T12:38:45Z,list_capabilities,compact,8,completed,1.543,5.785,True,True,
2026-09-15T12:38:51Z,list_capabilities,existing,8,completed,0.0,0.0,True,True,
2026-09-15T12:38:51Z,toolkit_get,compact,9,completed,2.234,8.241,True,True,
2026-09-15T12:38:59Z,toolkit_get,existing,9,completed,0.748,0.748,True,True,
2026-09-15T12:39:00Z,toolkit_get,bridge,9,completed,11.056,11.056,True,True,
2026-09-15T12:39:11Z,list_hosts,compact,9,completed,2.278,8.305,True,True,
2026-09-15T12:39:20Z,list_hosts,existing,9,completed,0.755,0.755,True,True,
2026-09-15T12:39:20Z,list_hosts,bridge,9,completed,11.089,11.089,True,True,
2026-09-15T12:39:32Z,list_capabilities,compact,9,completed,2.294,6.566,True,True,
2026-09-15T12:39:38Z,list_capabilities,existing,9,completed,0.0,0.0,True,True,
2026-09-15T12:39:38Z,list_capabilities,bridge,9,completed,13.867,13.867,True,True,
2026-09-15T12:39:52Z,toolkit_get,existing,10,completed,0.755,0.755,True,True,
2026-09-15T12:39:53Z,toolkit_get,bridge,10,completed,11.084,11.084,True,True,
2026-09-15T12:40:04Z,toolkit_get,compact,10,completed,2.288,8.319,True,True,
2026-09-15T12:40:12Z,list_hosts,existing,10,completed,0.764,0.764,True,True,
2026-09-15T12:40:13Z,list_hosts,bridge,10,completed,16.319,16.319,True,True,
2026-09-15T12:40:29Z,list_hosts,compact,10,completed,2.291,10.102,True,True,
2026-09-15T12:40:40Z,list_capabilities,existing,10,completed,0.754,0.754,True,True,
2026-09-15T12:40:40Z,list_capabilities,bridge,10,completed,12.073,12.073,True,True,
2026-09-15T12:40:53Z,list_capabilities,compact,10,completed,1.516,7.554,True,True,
